match_id,team_1,team_2,league,date,winner,gamelength,firsttower_team,firstblood_team,firstdragon_team
ESPORTSTMNT02_3216873,KaBuM! Esports,Fluxo,CBLOL,2023-07-02 19:09:46,Fluxo,1538,Fluxo,Fluxo,Fluxo
ESPORTSTMNT02_3217150,INTZ,Los Grandes,CBLOL,2023-07-01 17:19:29,INTZ,2046,INTZ,INTZ,INTZ
ESPORTSTMNT02_3217185,Liberty,Vivo Keyd Stars,CBLOL,2023-07-01 20:30:16,Vivo Keyd Stars,2056,Liberty,Liberty,Vivo Keyd Stars
ESPORTSTMNT02_3217355,Los Grandes,RED Canids,CBLOL,2023-07-02 16:19:28,RED Canids,1988,RED Canids,Los Grandes,RED Canids
ESPORTSTMNT02_3217365,Vivo Keyd Stars,FURIA,CBLOL,2023-07-02 17:21:34,Vivo Keyd Stars,1923,Vivo Keyd Stars,Vivo Keyd Stars,Vivo Keyd Stars
ESPORTSTMNT02_3217378,Liberty,paiN Gaming,CBLOL,2023-07-02 18:21:23,paiN Gaming,1550,paiN Gaming,Liberty,paiN Gaming
ESPORTSTMNT02_3218102,FURIA,LOUD,CBLOL,2023-07-01 16:23:23,LOUD,1855,LOUD,FURIA,LOUD
ESPORTSTMNT02_3218112,RED Canids,KaBuM! Esports,CBLOL,2023-07-01 18:17:49,RED Canids,2486,KaBuM! Esports,KaBuM! Esports,KaBuM! Esports
ESPORTSTMNT02_3218124,paiN Gaming,Fluxo,CBLOL,2023-07-01 19:24:09,paiN Gaming,2463,paiN Gaming,Fluxo,Fluxo
ESPORTSTMNT02_3218326,LOUD,INTZ,CBLOL,2023-07-02 20:01:02,LOUD,1924,LOUD,INTZ,LOUD
ESPORTSTMNT02_3225650,Vivo Keyd Stars,Fluxo,CBLOL,2023-08-11 17:29:28,Fluxo,2356,Vivo Keyd Stars,Fluxo,Fluxo
ESPORTSTMNT02_3225670,Fluxo,Vivo Keyd Stars,CBLOL,2023-08-11 20:33:18,Vivo Keyd Stars,2290,Vivo Keyd Stars,Vivo Keyd Stars,Fluxo
ESPORTSTMNT02_3225802,paiN Gaming,INTZ,CBLOL,2023-08-12 16:29:53,paiN Gaming,2209,INTZ,paiN Gaming,INTZ
ESPORTSTMNT02_3226664,Fluxo,Vivo Keyd Stars,CBLOL,2023-08-11 16:34:29,Vivo Keyd Stars,1776,Vivo Keyd Stars,Vivo Keyd Stars,Fluxo
ESPORTSTMNT02_3226687,Vivo Keyd Stars,Fluxo,CBLOL,2023-08-11 18:32:58,Vivo Keyd Stars,2101,Vivo Keyd Stars,Fluxo,Fluxo
ESPORTSTMNT02_3226692,Vivo Keyd Stars,Fluxo,CBLOL,2023-08-11 19:32:52,Fluxo,2235,Vivo Keyd Stars,Fluxo,Fluxo
ESPORTSTMNT02_3226839,INTZ,paiN Gaming,CBLOL,2023-08-12 17:33:43,paiN Gaming,2549,INTZ,INTZ,paiN Gaming
ESPORTSTMNT02_3226849,INTZ,paiN Gaming,CBLOL,2023-08-12 18:40:38,paiN Gaming,2176,INTZ,paiN Gaming,paiN Gaming
ESPORTSTMNT02_3226957,RED Canids,LOUD,CBLOL,2023-08-13 16:26:45,RED Canids,2011,RED Canids,RED Canids,RED Canids
ESPORTSTMNT02_3226973,LOUD,RED Canids,CBLOL,2023-08-13 17:27:22,LOUD,1764,LOUD,LOUD,RED Canids
ESPORTSTMNT02_3226983,RED Canids,LOUD,CBLOL,2023-08-13 19:16:55,LOUD,1804,RED Canids,LOUD,RED Canids
ESPORTSTMNT02_3227954,RED Canids,LOUD,CBLOL,2023-08-13 18:20:13,LOUD,1997,LOUD,RED Canids,LOUD
ESPORTSTMNT02_3228699,paiN Gaming,LOUD,CBLOL,2023-08-20 16:17:16,LOUD,2462,LOUD,paiN Gaming,LOUD
ESPORTSTMNT02_3228711,paiN Gaming,LOUD,CBLOL,2023-08-20 17:27:37,LOUD,1950,LOUD,LOUD,LOUD
ESPORTSTMNT02_3229572,Vivo Keyd Stars,INTZ,CBLOL,2023-08-19 16:15:47,Vivo Keyd Stars,1621,Vivo Keyd Stars,Vivo Keyd Stars,Vivo Keyd Stars
ESPORTSTMNT02_3230572,INTZ,Vivo Keyd Stars,CBLOL,2023-08-19 17:07:54,INTZ,2029,INTZ,Vivo Keyd Stars,INTZ
ESPORTSTMNT02_3230576,INTZ,Vivo Keyd Stars,CBLOL,2023-08-19 18:04:37,INTZ,2544,Vivo Keyd Stars,INTZ,Vivo Keyd Stars
ESPORTSTMNT02_3230586,INTZ,Vivo Keyd Stars,CBLOL,2023-08-19 19:10:40,INTZ,1921,INTZ,INTZ,INTZ
ESPORTSTMNT02_3230685,LOUD,paiN Gaming,CBLOL,2023-08-20 18:24:39,LOUD,1803,LOUD,LOUD,paiN Gaming
ESPORTSTMNT02_3231197,RED Canids,INTZ,CBLOL,2023-08-26 16:15:07,RED Canids,1858,RED Canids,RED Canids,INTZ
ESPORTSTMNT02_3231208,RED Canids,INTZ,CBLOL,2023-08-26 18:00:23,RED Canids,1704,RED Canids,INTZ,RED Canids
ESPORTSTMNT02_3231287,RED Canids,paiN Gaming,CBLOL,2023-08-27 20:11:15,paiN Gaming,1866,paiN Gaming,paiN Gaming,paiN Gaming
ESPORTSTMNT02_3232204,INTZ,RED Canids,CBLOL,2023-08-26 18:52:21,RED Canids,2512,RED Canids,INTZ,RED Canids
ESPORTSTMNT02_3232276,paiN Gaming,RED Canids,CBLOL,2023-08-27 16:16:11,paiN Gaming,1652,paiN Gaming,paiN Gaming,RED Canids
